,Fecha,Estado,Enunciado
724,29-04-23,None,correos de chile - pedido retenido
725,29-04-23,no resuelto,correos de chile - envío aliexpress estancado en arrived at linehual office
726,28-04-23,None,correos de chile - pedido no entregado
727,28-04-23,None,correos de chile - paquete retenido mas de un mes
728,28-04-23,None,correos de chile - exceso de pedido retrasado
729,28-04-23,None,correos de chile - demora en entregar
730,27-04-23,no resuelto,correos de chile - perdieron el producto
731,27-04-23,no resuelto,correos de chile - demora en internacion de envios
732,26-04-23,no resuelto,correos de chile - demora excesiva y cero respuesta
733,26-04-23,no resuelto,correos de chile - mi pedido lleva 1 mes retenido en internación.
734,26-04-23,no resuelto,correos de chile - envío internacional retenido en aduanas
735,26-04-23,no resuelto,correos de chile - demora en internación
736,25-04-23,None,correos de chile - pedido aún no llega
737,25-04-23,None,correos de chile - paquete en internación
738,25-04-23,no resuelto,correos de chile - no entrega de la encomienda
739,25-04-23,no resuelto,correos de chile - demora e ineficiencia
740,25-04-23,resuelto,correos de chile - paquete no entregado
741,24-04-23,None,"correos de chile - correos de chile no entrega producto comprado en el extranjero, más de un mes de espera."
742,24-04-23,resuelto,correos de chile - pedido recibido en chile hace 1 mes y nada aun
743,23-04-23,no resuelto,correos de chile - señores de correos chile quería ver si me pueden ayudar con mi envío porfavor
744,23-04-23,no resuelto,correos de chile - envío detenido internacion
745,22-04-23,None,correos de chile - robo de paquete y uso indebido de información personal
746,20-04-23,None,correos de chile - entrega en mal estado
747,20-04-23,no resuelto,correos de chile - no entrega de paquetes
748,19-04-23,None,correos de chile - tardanza en entrega de pedido
749,19-04-23,None,correos de chile - paquete en internación con excesivo tiempo
750,19-04-23,None,correos de chile - entrega encomienda internacional
751,19-04-23,resuelto,correos de chile - demora en procesar paquete que ya llegó al pais
752,18-04-23,resuelto,correos de chile - internacion desde un mes
753,18-04-23,resuelto,correos de chile - no entrega
754,17-04-23,resuelto,correos de chile - mi paquete dice que fue entregado a mi nombre y rut y yo no he recibido nada.
755,17-04-23,None,correos de chile - demora excesiva
756,16-04-23,no resuelto,correos de chile - el cartero no entrega compras ni correspondencia
757,16-04-23,no resuelto,correos de chile - envío postnl arribado a chile pero sin información desde correos chile
758,15-04-23,None,"correos de chile - paquete ha llegado al país hace un (1) mes, pero no se ha movido desde entonces"
759,14-04-23,no resuelto,correos de chile - envio con retraso excesivo
760,14-04-23,resuelto,correos de chile - retención encomienda webcam
761,13-04-23,resuelto,"correos de chile - envío lleva casi un mes en internacion, pedí ayuda pero nadie responde"
762,12-04-23,None,correos de chile - encomienda en ocpi cp
763,12-04-23,None,correos de chile - 3 paquetes con mercancía faltante y uno perdido
764,11-04-23,None,correos de chile - envío en proceso de internación al país
765,11-04-23,no resuelto,correos de chile - debia aver llegado a domicilio y llegó a la sucursal
766,11-04-23,None,correos de chile - no llega mi pedido
767,10-04-23,resuelto,correos de chile - demora excesiva en entrega
768,10-04-23,None,correos de chile - muchos días de internacion de mis paquetes
769,09-04-23,None,correos de chile - cartero no entrega paquete y notifica lo contrario.
770,09-04-23,None,correos de chile - retraso excesivo en proceso de internacion
771,08-04-23,no resuelto,correos de chile - internación excesivo casi 1 mes
772,08-04-23,no resuelto,correos de chile - paquete retenido
773,07-04-23,None,correos de chile - paquete retenido
774,06-04-23,resuelto,correos de chile - paquete en internación
775,06-04-23,no resuelto,correos de chile - envio retenido en internación
776,04-04-23,no resuelto,correos de chile - held in customs
777,04-04-23,None,correos de chile - envio no recibido y se encuentra en chile
778,04-04-23,None,correos de chilechile - no pude contactar a una persona que realizo un reclamo
779,03-04-23,resuelto,cooreos de chile - envío internacional entregado a otra persona
780,03-04-23,None,correos de chile - envío postnl arribado en chile pero no recepcionado por correos de chile
781,01-04-23,None,correos de chile - no ha llegado encomienda
782,30-03-23,None,correos de chile - lleva en internacion mas de 20 dias
783,29-03-23,None,correos de chile - no entrega de
784,29-03-23,resuelto,correos de chile - no llega el pedido
785,28-03-23,no resuelto,correos de chile - mala atención en entrega de encomienda
786,27-03-23,no resuelto,correos de chile - ¿robo de compra internacional en correos de chile?
787,27-03-23,no resuelto,correos de chile - pedido en internación
788,27-03-23,resuelto,correos de chile - no llega mi pedido hace 3 meses
789,25-03-23,None,correos de chile - paquete no entregado
790,24-03-23,None,correos de chile - mi paquete ya no existe
791,24-03-23,resuelto,correos de chile - pedido no se actualiza y se venció la fecha estimada de entrega
792,24-03-23,no resuelto,correos de chile - producto no recibido
793,24-03-23,resuelto,correos de chile - el paquete nunca lo recibí
794,23-03-23,resuelto,correos de chile - demora con ems
795,23-03-23,no resuelto,correos de chile - retraso excesivo en entrega de encomienda
796,22-03-23,resuelto,correos de chile - paquete no llego y figura como entregado
797,22-03-23,None,correos de chile - demora excesiva envio ems internacional
798,21-03-23,no resuelto,correos de chile - perdida de mercaderia
799,21-03-23,None,correos de chile - envio no sale de internacion
800,21-03-23,resuelto,correos de chile - paquete estancado en linehaul office
801,20-03-23,no resuelto,correos de chile - no se hacen cargo del extravío de mi sobre delito grave
802,20-03-23,resuelto,correos de chile - mi pedido esta desde el 02 de marzo en internacion
803,20-03-23,resuelto,correos de chile - envio internacional
804,19-03-23,None,correos de chile - pedido en internación
805,18-03-23,None,correos de chile - no entregan envío
806,17-03-23,None,correos de chile - sin información de mi paquete
807,16-03-23,no resuelto,correos de chile - no llega mi paquete
808,16-03-23,resuelto,correos de chile - tiempo de internación excesivo
809,15-03-23,None,correos de chile - no recibí mi encomienda
810,15-03-23,resuelto,correos de chile - baneado de la pagina
811,14-03-23,resuelto,correos de chile - liberación de paquete retenido por aduanas por documentacion
812,14-03-23,None,correos de chile - line haul office
813,13-03-23,None,correos de chile - no ha llegado mi pedido
814,13-03-23,resuelto,correos de chile - envio no sale de internacion
815,13-03-23,no resuelto,correos de chile - no llega paquete
816,12-03-23,no resuelto,correos de chile - tiempo de internación excesivo
817,11-03-23,resuelto,correos de chile - linehaul office
818,11-03-23,resuelto,correos de chile - bloqueo de acceso a www.correos.cl
819,10-03-23,resuelto,correos de chile - paquete entregado a otra persona
820,10-03-23,resuelto,correos de chile - demora en la entrega. nadie contesta ni nadie informa.
821,10-03-23,resuelto,correos de chile - pedido en internación
822,09-03-23,no resuelto,correos de chile - proceso de internación
823,09-03-23,resuelto,correos de chile - fecha de entrega máxima excedida
824,08-03-23,None,correos de chile - envió no entregado
825,08-03-23,None,correos de chile - paquete retenido
826,08-03-23,no resuelto,correos de chile - destrucción del paquete en la entrega
827,07-03-23,None,correos de chile - paquete no entregado
828,07-03-23,None,correos de chile - envío estancado en linehual office
829,07-03-23,None,correos de chile - apoyo para saber estado de fiscalización de mi pedido
830,07-03-23,None,correos de chile - nadie sabe donde esta mi encomienda
831,07-03-23,no resuelto,correos de chile - mi paquete no sale de internacion
832,06-03-23,None,correos de chile - demora en envio
833,06-03-23,None,correos de chile - no he tenido nada de informacion sobre un pedido que realicé
834,06-03-23,None,correos de chile - no tengo noticias de mi pedido
835,06-03-23,resuelto,correos de chile - sin actualización de código rastreo
836,06-03-23,None,correos de chile - pedido en linehaul por dos semanas
837,05-03-23,None,correos de chile - pedido supuestamente entregado
838,05-03-23,None,correos de chile - fue enviado una carta de españa a chile la cual llegó el día 13/02/2023 a chile pero a nuestro destino nada y
839,04-03-23,resuelto,correos de chile - pedido recibido ..pero no llego ningun paquete
840,03-03-23,resuelto,correos de chile - paquete figura en chile pero no se ha movido en dias
841,03-03-23,None,correos de chile - pedido no entregado
842,03-03-23,resuelto,correos de chile - paquete en reparto
843,03-03-23,None,correos de chile - no sale de internacion
844,02-03-23,None,correos de chile - demora excesiva de entrega de pedido
845,02-03-23,resuelto,"correos de chile - pedido ""recibido en planta de origen"""
846,01-03-23,resuelto,correos de chile - envío no avanza
847,01-03-23,resuelto,correos de chile - paquetes en santiago de chile linehaul
848,01-03-23,None,correos de chile - mas un mes en internacion
849,28-02-23,None,correos de chile - no recibo paquetes y cobro excesivo del cartero
850,28-02-23,None,correos de chile - pedido dice entregado pero no he recibido
851,27-02-23,no resuelto,correos de chile - extravió pedido
852,27-02-23,resuelto,correos de chile - mala clasificación de importación y se niegan a aceptar resolución del isp
853,25-02-23,no resuelto,"correos de chile - detenido santiago ocpi cp, chile febrero 24 10:00am"
854,24-02-23,resuelto,correos chile - envío internacional no tiene movimiento desde el 31 de enero
855,24-02-23,no resuelto,correos de chile - paquete en oficina rancagua retenido
856,23-02-23,resuelto,correos de chile - mucho tiempo de reparto
857,22-02-23,None,correos de chile - el pedido aparece entregado y no lo he recibido
858,22-02-23,None,correos de chile - producto detenido en estado linehaul office
859,21-02-23,no resuelto,correos de chile - pedido en internación
860,20-02-23,None,correos de chile - internacion extravío
861,20-02-23,resuelto,correos de chile - entrega paquete a persona erronea
862,20-02-23,no resuelto,correos de chile - envio internacional detenido por correos de chile
863,19-02-23,None,correos de chile - tiempo de internación
864,18-02-23,None,correos de chile - mala gestión del repartidor
865,17-02-23,None,correos de chile - envío de valija no llegado a su destino
866,17-02-23,None,correos de chile - envio son movimiento
867,16-02-23,resuelto,correos de chile - paquete en internacion desde el 27 de diciembre
868,16-02-23,no resuelto,correos de chile - agencia calle larga mala atención.
869,16-02-23,no resuelto,correos de chile - encomienda un mes en proceso de internación
870,15-02-23,no resuelto,correos de chile - no envían paquete
871,14-02-23,None,correos de chile - envio no entregado
872,13-02-23,resuelto,correos de chile - mi paquete fue entregado a otra persona
873,11-02-23,resuelto,correos de chile - excesiva demora en proceso de internacion
874,10-02-23,no resuelto,correos de chile - internacion 2 semanas
875,10-02-23,no resuelto,correos de chile - un mes de internación de paquete y sin respuesta
876,09-02-23,resuelto,correos de chile - producto entregado y no recibido
877,09-02-23,None,correos de chile - mi pedido llega a una otra comuna
878,08-02-23,None,correos de chile - compra realizada por aliexpress
879,08-02-23,no resuelto,correos de chile - mucha la demora que esta en internacion
880,08-02-23,resuelto,correos de chile - paquete detenido
881,07-02-23,None,correos de chile - correos chile no cumple con entrega a domicilio de mi paquete y no me contactan nunca. devuelven mi pedido si
882,07-02-23,no resuelto,correos de chile - robo de mercancia casilla internacional
883,06-02-23,None,"correos de chile - lentitud en envío, no cumplen plazos"
884,06-02-23,resuelto,correos de chile - demora excesiva en internación
885,06-02-23,None,correos de chile - no me entregan mi paquete
886,04-02-23,no resuelto,correos de chile - no entregaron mi paquete que viene del trasporte yanwen nro de seguimiento vr 493375675yp...que se les entreg
887,03-02-23,resuelto,correos de chile - demaciado días en internacion
888,02-02-23,None,correos de chile - no entrega paquete
889,02-02-23,resuelto,correos de chile. - demasiado tiempo en internación.
890,01-02-23,resuelto,correos de chile - internacion al país
891,31-01-23,None,correos de chile - encomienda internacional parada por casi un mes
892,31-01-23,no resuelto,correos de chile - pedido no llega
893,30-01-23,resuelto,correos de chile - pedido estancado en internacion
894,29-01-23,no resuelto,correos de chile - tres meses esperando internación
895,27-01-23,resuelto,correos de chile - no entregan paquetes
896,26-01-23,resuelto,correos de chile - falsificación de datos de receptor
897,25-01-23,None,correos de chile - demora en internacion
898,25-01-23,None,correos de chile - proceso de internacion prolongado
899,24-01-23,None,correos de chile - tardanza en tramitacion de envio
900,23-01-23,None,correos de chile - demora en entrega
901,22-01-23,None,correos de chile - demora en internacion al pais
902,22-01-23,None,correos de chile - linehaul
903,21-01-23,no resuelto,correos de chile - pedido en proceso de internacion por 14 dias
904,20-01-23,no resuelto,correos de chile - paquete no recibido sale como entregado en la página web.
905,20-01-23,resuelto,correos de chile - entregan a cualquier persona
906,19-01-23,None,correos de chile - otra persona recibió mi pedido
907,19-01-23,resuelto,correos de chile - demora excesiva en internación
908,18-01-23,resuelto,correos de chile - envío retenido en internación al país hace 1 mes
909,17-01-23,None,correos de chile - producto no llega
910,16-01-23,None,correos de chile - no entrega de producto
911,16-01-23,resuelto,correos de chile - envío detenido sin motivo
912,14-01-23,no resuelto,correos de chile - paquete internacional no sale de proceso de internación
913,13-01-23,None,correos de chile - entrega en direccion incorrecta
914,12-01-23,None,correos de chile - no me llega paquete de compra internacional
915,12-01-23,no resuelto,correos de chile - tiempo de entrega
916,12-01-23,resuelto,correos chile - despacho paquete
917,11-01-23,None,correos de chile - mi paquete aun no sale del pais de origen
918,11-01-23,None,correos de chile - entrega fallida
919,10-01-23,resuelto,correos de chile - mala atención
920,10-01-23,resuelto,correos de chile - demora en proceso de internacion
921,10-01-23,resuelto,correos de chile - pedido indica entregado a un rut desconocido
922,09-01-23,resuelto,correos de chile - no cumple plazo de entrega
923,08-01-23,resuelto,correos de chile - paquete extraviado
924,07-01-23,None,"correos de chile - envío aparece entregado , pero no ha sido recibido."
925,06-01-23,no resuelto,correos de chile - 24 días en proceso de internación al país
926,05-01-23,None,correos de chile - nulo avances documentos importacion
927,05-01-23,no resuelto,correos de chile - retraso en entrega
928,04-01-23,None,correos de chile - mi pedido no llega
929,03-01-23,None,correos de chile - mala gestion en el servicio de casillas
930,03-01-23,None,correos de chile - paquete detenido en aduana
931,03-01-23,no resuelto,correos de chile - demora en internación
932,29-12-22,None,"correos dechile rancagua - yo no me encontraba en casa ,nadie llamó y me devolvieron a buin mi encomienda"
933,28-12-22,None,correos de chile - por extravío o robo de artículos de encomienda
934,28-12-22,no resuelto,correos de chile - hacen más de 15 días que mi pedido de aliexpress permanece en el mismo estado.
935,27-12-22,no resuelto,correoschile - problemas envío documento internacional
936,26-12-22,no resuelto,correos de chile - internación del paquete tarda demasiado
937,25-12-22,None,correos de chile - no llega paquete internacional
938,23-12-22,resuelto,"correos de chile - falta de información, demora en entrega"
939,22-12-22,None,correos de chile - tardanza en reparto
940,22-12-22,resuelto,correos de chile - proceso de internación prolongado
941,22-12-22,no resuelto,correos de chile - no hacen las entregas en el condominio
942,21-12-22,resuelto,"correos de chile - el paquete aun no es entregado, lleva 20 días en bodega"
943,21-12-22,None,correos de chile - envio en reparto
944,21-12-22,None,correos de chile - cambio de direccion
945,21-12-22,None,correos de chilechile - robo de enseres de chilena retornada
946,20-12-22,no resuelto,correos de chile - mala informacion de lugar de reacate de paquetes
947,20-12-22,None,correos de chile - demora en entrega
948,20-12-22,no resuelto,"correos de chile,aduanas - hace un tiempo ya que mi pedido de aliexpress permanece en el mismo estado"
949,19-12-22,resuelto,correos de chile - demora en entrega de envío
950,19-12-22,None,correos de chile - falta de voluntad y cordialidad
951,19-12-22,None,correos de chile - tiempo excedido de entrega
952,18-12-22,no resuelto,correos de chile - paquete enviado pero nunca recibido
953,16-12-22,no resuelto,correoschile.cl - envío no llego
954,16-12-22,no resuelto,correos de chile - extravio de pedido
955,15-12-22,no resuelto,casilla internacional correos de chile - exeso valor en cobros
956,15-12-22,resuelto,"correos de chile - el cartero me cobra un costo anual de $48.000 por entrega de cartas, es eso correcto?"
957,14-12-22,None,correos de chile - mi pedido lleva desde el 20 de octubre en el aeropuerto
958,14-12-22,None,correos de chile - entrega de cartas o papeles
959,13-12-22,None,correos de chile - no funcionamiento casilla postal
960,13-12-22,no resuelto,correos de chile - anomalías en la entrega
961,13-12-22,None,correos de chile - envío no entregado
962,13-12-22,resuelto,correos de chile - pedido no recibido marcado como entregado
963,11-12-22,None,correos de chile - demora en entrega del producto
964,09-12-22,None,correos de chile - demora en la entrega
965,08-12-22,resuelto,"correos de chile - envio no entregado, figura que se entrego a persona desconocida"
966,07-12-22,None,correos de chile - mi pedido dice en reparto pero no llegó
967,07-12-22,no resuelto,"correos de chile - no entrega de un pedido, e ingresado como entregado"
968,07-12-22,None,correos de chile - proceso internación sin respuesta sin entrega fecha de entrega superada
969,07-12-22,resuelto,correos de chile - envío entregado pero no entregado a mi
970,06-12-22,None,correos de chile - proceso internación sin avance
971,05-12-22,no resuelto,correos de chile - pedido ingresado al país pero sin entregar hace 24 días
972,03-12-22,None,correos de chile - mi pedido de usps no llega
973,02-12-22,None,correos de chile - demora en entrega de vinilos.
974,01-12-22,no resuelto,correos de chile - monto de aduana desproporcionalmente alto
975,01-12-22,resuelto,correos de chile - envío no entregado
976,01-12-22,resuelto,correos de chile - pedido sin actualización desde el 18/11
977,01-12-22,no resuelto,correos de chile - compra en aliexpress y el cartero jamás vino a entregarlo
978,01-12-22,resuelto,correos de chile - pedido sin movimiento desde el 16/11
979,30-11-22,resuelto,correos de chile - demora de entrega
980,29-11-22,no resuelto,correos de chile - demora en internación
981,29-11-22,no resuelto,correos de chile - mala gestión y respuesta en entrega paquete
982,29-11-22,resuelto,correos de chile - informan paquete entregado a mi persona y jamás llego nada
983,28-11-22,None,correos de chile - demora en entrega del producto
984,28-11-22,no resuelto,correos de chile - pedido lleva mucho tiempo en un estado.
985,27-11-22,resuelto,correos de chile - pedido estancado en la oficina de transito
986,26-11-22,None,correos de chile - atención
987,25-11-22,no resuelto,correos de chile - aún no se resuelve
988,24-11-22,no resuelto,correos de chile - no entrega de envío internacional
989,24-11-22,no resuelto,correos de chile - demora de paquete desde la llegada a chile
990,23-11-22,None,correos de chile - robo de producto
991,23-11-22,no resuelto,correos de chile - no entregan encomienda
992,22-11-22,None,correos de chile - paquete sin movimiento en aeropuerto santiago
993,22-11-22,no resuelto,correos de chile - paquete estancado en aeropuerto
994,21-11-22,resuelto,correos de chile - carta no sale
995,19-11-22,None,correos de chile - encomienda incompleta
996,19-11-22,None,correos de chile - no me entregaron pedido internacional a pesar de subir documentos solicitados
997,18-11-22,no resuelto,correos de chile - paquete retenido en internacion
998,18-11-22,resuelto,correos de chile - otra direccion
999,17-11-22,None,correos de chile - entregar el paquete
1000,17-11-22,no resuelto,"correos de chile - envío internacional dice en ""país de origen"" y postnl dice que está en chile"
1001,17-11-22,None,correo de chile - envio
1002,16-11-22,None,correos de chile - encomienda en internación desde el 01 octubre 2022
1003,15-11-22,None,correos de chile - no hay actualización de mi pedido ( estancado)
1004,15-11-22,None,correos de chile - no ha llegado mi pedido
1005,15-11-22,no resuelto,correos de chile - utilización de erronia de email
1006,14-11-22,resuelto,"correos de chile - no sale de ""recibido en planta de origen"""
1007,14-11-22,None,"""correos chile - otra perdida de encomienda"
1008,14-11-22,None,correos de chile - demora en entrega
1009,12-11-22,None,correos de chile - envio extraviado
1010,12-11-22,resuelto,correos de chile - envios dicen en reparto y aun no me lo entregan
1011,11-11-22,no resuelto,correos de chile - mi pedido lleva casi un mes en recibido en chile
1012,10-11-22,resuelto,correos de chile - pedido dice haber sido entregado y no he recibido nada.
1013,10-11-22,None,"correos de chile - pedido retenido ""santiago ocpi cp, chile"""
1014,09-11-22,no resuelto,correos de chile - mi paquete que lo habia enviado el 23/10/2021 no llego a su destino me lo devolvieron este año en septiembre
1015,09-11-22,no resuelto,correos de chile - paquete extraviado
1016,08-11-22,resuelto,correos de chile - entrega de paquete internacional usps
1017,08-11-22,None,correos de chile - envío entregado a otra persona
1018,07-11-22,resuelto,correos se chile - mi paquete no se mueve de estar en internacion
1019,07-11-22,None,correos de chile lcao ville - no entrega de producto
1020,07-11-22,no resuelto,correos de chile - demora proceso de internacion
1021,06-11-22,no resuelto,correos de chile - extravío de paquete (compra por ebay)
1022,03-11-22,no resuelto,correos de chile - pérdida de 2 paquetes encomienda
1023,03-11-22,resuelto,correos de chile - el paquete nunca me llegó y según ellos me lo entregaron a mi
1024,03-11-22,resuelto,correos de chile - mi pedido lleva 3 semanas en ingreso
1025,02-11-22,None,correos de chile - mala atención al cliente y demora en entrega
1026,01-11-22,no resuelto,correos de chile - demasiada demora en retorno a remitente.
1027,28-10-22,resuelto,correos de chile - entregado a otro domocilio
1028,28-10-22,no resuelto,correos de chile - pérdida de paquete
1029,27-10-22,no resuelto,correos de chile - encomienda extraviada
1030,27-10-22,resuelto,correos de chile - plazo excesivo de internación
1031,26-10-22,no resuelto,correos de chile - restaso en entrega de encomienda
1032,26-10-22,resuelto,correos de chile - error 14 bloqueo
1033,25-10-22,no resuelto,correos de chile - paquete no recibido
1034,25-10-22,None,"correos de chile - envío no recibido , falsa entrega. cartero no realiza entrega de envios."
1035,25-10-22,no resuelto,correos de chile - paquete en internacion hace semanas
1036,22-10-22,None,correos de chile - no entrega durante el plazo express
1037,21-10-22,resuelto,correos de chile formulario consultas - direccion falto comuna el bosque.stgo.
1038,21-10-22,resuelto,correos de chile - no recibí mi paquete
1039,21-10-22,None,correo de chile - todavía no me llega mi producto y correo de chile y shein lo notificaron
1040,20-10-22,None,correos de chile - envio mal gestionado
1041,20-10-22,None,correos de chile - no llega mi pedido
1042,19-10-22,resuelto,correos de chile - tardanza en entrega de producto
1043,19-10-22,no resuelto,correos de chile - envío extraviado
1044,17-10-22,None,correos chile - lleva más de 1 semana de retraso mi pedido
1045,17-10-22,None,correos de chile - atraso envio productos internacional
1046,16-10-22,None,correos de chile - paquete robado por correos de chile
1047,14-10-22,resuelto,correos de chile - retraso en la entrega del paquete
1048,14-10-22,resuelto,correos de chile - equivocación de dirección
1049,12-10-22,no resuelto,correos de chile - falsa información
1050,12-10-22,no resuelto,"correos de chile - no llegó paquete,"
1051,11-10-22,None,correos de chile - pérdida de encomienda
1052,11-10-22,resuelto,correos de chile - envío no registra actualización desde hace casi un mes
1053,09-10-22,no resuelto,correos de chile - envíos postnl arribados al país pero no son tomados por correos
1054,08-10-22,resuelto,correos de chile - me llegó un correo donde dice que mi paquete llegó y a mi o en mi casa no a llegado nada no he recibido nada
1055,07-10-22,resuelto,correos de chile - me hicieron pagar $910 y me enviaron el paquete a unidas de rezago post venta
1056,07-10-22,None,correos de chile - demora en internación
1057,06-10-22,resuelto,correos de chile - demora en entrega de encomienda
1058,05-10-22,no resuelto,correos de chile - demora en entrega
1059,05-10-22,None,correos de chile - no entrega paquete indica que no hay nadie en casa
1060,04-10-22,None,correos de chile - paquete lleva más de un mes en tránsito
1061,01-10-22,no resuelto,"correos de chile - mi paquete lleva 4 meses ""en reparto"""
1062,01-10-22,no resuelto,correos de chile - robaron mi pedido
1063,30-09-22,None,correos de chile - llegada de pedido
1064,29-09-22,no resuelto,correos de chile - no entregan si no hay conserje
1065,28-09-22,resuelto,correos de chile - envío enviado a otra región
1066,27-09-22,resuelto,correos de chile - pedido no entregado
1067,27-09-22,None,correos de chile - paquete en proceso de internación
1068,26-09-22,resuelto,correos de chile - encargo fue entregado a otra persona
1069,26-09-22,no resuelto,correos de chile - envíos que nunca llegan
1070,26-09-22,no resuelto,correos de chile - demora en proceso de internacion y entrega
1071,25-09-22,None,correos de chile - fuera de plazo aún no recibo mi paquete
1072,23-09-22,None,correos de chile - acceso denegado a pagina web
1073,22-09-22,no resuelto,correos de chile - no llega pedido.
1074,22-09-22,resuelto,"correos de chile - no he recibido el paquete, y aparece como ""entregado """
1075,21-09-22,no resuelto,correos de chile - envio en proceso de internacion al pais
1076,21-09-22,None,correos de chile - cobro
1077,21-09-22,None,correos de chile - pedido no llega
1078,20-09-22,resuelto,correos de chile - encomienda sigue retenida / held in customs
1079,20-09-22,None,correos de chile - tiempo de internacion
1080,19-09-22,None,correos de chile - correos chile no se ha hecho cargo de hacerme llegar mi encomienda transportada por asendia
1081,19-09-22,resuelto,correos de chile - excesiva demora en despacho de paquete internacional
1082,15-09-22,no resuelto,correos de chile - el envio no se entrego
1083,14-09-22,None,correos de chile - encomienda extraviada
1084,14-09-22,no resuelto,correos de chile - compre un productor aliexpress y se perdio
1085,12-09-22,None,correos de chile - mi paquete no ha llegado
1086,12-09-22,None,correos de chile - tiempo de internacion
1087,10-09-22,no resuelto,correos de chile - envío casilla internacional
1088,09-09-22,no resuelto,correos de chile - paquete desde us no llega
1089,08-09-22,resuelto,correos de chile - paquete en proceso de internacion
1090,07-09-22,no resuelto,correos de chile - paquete perdido aparece como recibido por uno
1091,07-09-22,resuelto,correos de chile - en internacion
1092,05-09-22,None,correos de chile - dirección errónea
1093,05-09-22,no resuelto,correos de chile - hurto de mi paquete a domicilio
1094,05-09-22,resuelto,correos de chile - inconvenientes con la entrega de aliexpress
1095,03-09-22,None,correos de chile - correo con postnl
1096,02-09-22,no resuelto,"correos de chile - encomienda ""extraviada"" mala atencion en sucursal de quinta de tilcoco"
1097,01-09-22,no resuelto,correos de chile - encomienda internacional no ha llegado
1098,31-08-22,no resuelto,correos de chile - en comienda retenida / held in customs
1099,30-08-22,None,correos de chile - mal servicio
1100,30-08-22,None,correos de chile - status: envio entregado pero yo no he recibido nada
1101,30-08-22,None,"correos de chile - paquete ""entregado"" pero no se donde"
1102,29-08-22,None,correos de chile - entrega a otra persona
1103,29-08-22,no resuelto,correos de chile - yo tengo algunos pedidos que ustedes enviaron a otras direcciones
1104,27-08-22,resuelto,correos de chile - demora en entrega
1105,26-08-22,resuelto,"correos de chile - pequeño paquete entregado a persona no indicada, ciudad no corresponde."
1106,25-08-22,None,correos de chile - problemas con sunyou logistics.
1107,24-08-22,no resuelto,correos de chile - no entrega de paquetes
1108,24-08-22,resuelto,correos de chile - paquetes incorrectos
1109,23-08-22,None,correos de chile - paquete entregado a otra persona
1110,23-08-22,None,correos de chile - demora en aduanas
1111,23-08-22,None,correos de chile - envío no entregado
1112,22-08-22,None,correos de chile - paquete no es entregado
1113,21-08-22,resuelto,correos de chile - demora excesiva y engaño sobre entrega de encomienda
1114,20-08-22,no resuelto,correos de chile - mal servicio.
1115,19-08-22,no resuelto,correos de chile - cobro de cartero
1116,18-08-22,None,correos de chile - pedido en internación más de 30 días habiles
1117,17-08-22,resuelto,correos de chile - pedido en internación + de un mes
1118,16-08-22,resuelto,"correos de chile - no entrega, a pesar de que me. enviaron un correo refiriendo la entrega"
1119,16-08-22,resuelto,correos de chile - demora en internacion
1120,14-08-22,no resuelto,correos de chile - sin información de mi pedido
1121,13-08-22,None,correos de chile - falta de comunicación termina con pedido devuelto al remitente
1122,10-08-22,no resuelto,correos dede chile - no entregan encomiendas
1123,10-08-22,no resuelto,correos de chile - paquete llegó y se recibió por alguien pero no ah llegado a mi casa
1124,09-08-22,no resuelto,correos de chile - uso de mis datos para ingresar envíos que no he realizado
1125,09-08-22,resuelto,correos de chile - demora excesiva y engaño en entrega de encomiendas
1126,08-08-22,None,correos de chile - demora en entrega
1127,08-08-22,None,correos de chile - extravío de la entrega
1128,05-08-22,None,correos de chile - mi pedido no fue entregado pero aparece entregado
1129,05-08-22,None,correos de chile - paquete perdido
1130,04-08-22,None,correos de chile - no me querían pasar mi paquete
1131,04-08-22,no resuelto,correos de chile - retraso en envio lp00520047307167
1132,04-08-22,None,correos de chile - pedido sin moviento
1133,04-08-22,resuelto,correos de chile - no entregaron mi paquete
1134,03-08-22,None,correos de chile - nunca me llego el pedido pero sale entregado
1135,03-08-22,no resuelto,correos de chile - trizadura de parabrisas de mi vehículo
1136,03-08-22,resuelto,correos de chile - sin entrega
1137,02-08-22,resuelto,correos de chile - tardanza en entrega de envío
1138,02-08-22,resuelto,correos de chile - mi encomienda aún no llega
1139,02-08-22,no resuelto,correos de chile - envio usps desde ee.uu a rancagua estancado
1140,01-08-22,None,correos de chile - aparece como entregado y nadie lo recibio
1141,01-08-22,None,correos de chile - cartera no entrega mis pedidos
1142,29-07-22,no resuelto,correos de chile - paquete lleva más de 1 mes en chile y aún no lo entregan
1143,29-07-22,None,señores señores correos de chile
1144,28-07-22,resuelto,correos de chile - un mes pedido en internación
1145,28-07-22,no resuelto,correos de chile - demora excesiva en ingreso de mercaderías de aliexpress
1146,27-07-22,resuelto,correos de chile - envio no entregado
1147,27-07-22,no resuelto,ems o correos de chile - se demora mucho paquete
1148,27-07-22,resuelto,correos dede chile - envío no avanza
1149,26-07-22,resuelto,correos de chile - entrega errónea.
1150,26-07-22,resuelto,correos de chile - retraso excesivo en entrega de envio internacional
1151,26-07-22,no resuelto,correos de chile - aun no entregan mi paquete
1152,26-07-22,resuelto,"correos de chile - ""envío no entregado"" falsamente"
1153,25-07-22,no resuelto,correos de chile - compra en aliexpress
